,Employee_ID,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7
2,EID_22203,0,52.0,3,1,Springfield,Sales,Directive,21.0,3,25,0,1,8.0,type3,1.0,4,-0.1048,0.7075,2.0,1,9,3
7,EID_7693,1,41.0,2,1,Springfield,Sales,Conceptual,4.0,4,35,1,4,8.0,type2,1.0,3,-0.1048,1.8688,2.0,2,7,5
8,EID_13232,0,31.0,1,0,Springfield,IT,Analytical,7.0,3,73,2,3,8.0,type2,3.0,3,1.6081,0.7075,2.0,2,7,4
11,EID_14669,0,29.0,4,0,Washington,IT,Directive,7.0,2,29,2,4,9.0,type2,4.0,4,0.7516,-0.4537,1.0,3,5,4
12,EID_16537,1,28.0,4,0,Lebanon,Human Resource Management,Directive,,4,57,1,4,10.0,type2,3.0,3,0.7516,-0.4537,2.0,2,5,2
14,EID_20157,0,54.0,3,0,Washington,IT,Analytical,18.0,4,30,0,3,7.0,type2,5.0,2,0.7516,-0.4537,2.0,2,7,4
15,EID_1855,1,64.0,5,0,Lebanon,Purchasing,Analytical,42.0,3,27,1,3,8.0,type3,1.0,3,,-0.4537,3.0,3,9,5
18,EID_12838,0,38.0,3,1,Washington,Logistics,Directive,12.0,1,65,1,1,8.0,type3,1.0,3,-1.8176,-0.4537,,2,7,3
20,EID_8844,0,61.0,4,0,Lebanon,Human Resource Management,Behavioral,26.0,1,49,2,3,7.0,type2,5.0,3,-0.1048,-0.4537,2.0,4,8,4
23,EID_11398,1,42.0,3,0,Lebanon,Operarions,Directive,12.0,2,55,0,3,8.0,type2,2.0,3,0.7516,-0.4537,3.0,3,6,2
24,EID_12965,1,32.0,4,1,Washington,Operarions,Conceptual,8.0,2,71,1,5,8.0,type2,2.0,1,-1.8176,-0.4537,2.0,4,8,3
25,EID_5204,0,47.0,4,0,Franklin,Accounting and Finance,Analytical,15.0,2,55,1,2,8.0,type2,5.0,2,0.7516,0.7075,1.0,2,6,2
27,EID_13227,0,27.0,3,0,Franklin,IT,Directive,4.0,1,27,0,2,9.0,type3,1.0,3,-0.9612,0.7075,2.0,3,7,4
29,EID_14070,1,29.0,4,0,Washington,R&D,Analytical,6.0,3,37,1,3,7.0,type3,2.0,3,,-0.4537,2.0,3,5,3
30,EID_3755,0,59.0,3,1,Lebanon,Quality,Behavioral,26.0,4,44,0,3,8.0,type2,2.0,1,,0.7075,2.0,3,7,3
35,EID_4040,1,64.0,3,0,Lebanon,Operarions,Behavioral,29.0,1,53,1,3,8.0,type3,3.0,3,-0.9612,0.7075,2.0,2,5,3
36,EID_17730,0,25.0,3,1,Franklin,Sales,Analytical,6.0,1,28,1,3,8.0,type2,1.0,4,0.7516,-0.4537,,4,8,5
37,EID_4995,0,51.0,3,1,Lebanon,IT,Directive,18.0,4,52,0,1,9.0,type2,3.0,3,-0.1048,-0.4537,2.0,2,8,3
38,EID_24653,1,31.0,4,0,Lebanon,Logistics,Analytical,5.0,2,61,1,3,10.0,type2,2.0,3,0.7516,1.8688,2.0,3,7,1
39,EID_6978,1,47.0,4,0,Lebanon,IT,Behavioral,16.0,3,36,1,1,8.0,type2,3.0,3,-0.1048,-0.4537,,3,8,2
40,EID_13775,0,26.0,3,1,Franklin,Quality,Behavioral,3.0,2,39,0,3,7.0,type2,4.0,3,-0.9612,-0.4537,3.0,3,8,4
43,EID_24868,0,22.0,2,0,Springfield,Human Resource Management,Behavioral,3.0,3,28,1,2,9.0,type0,3.0,3,0.7516,0.7075,2.0,4,6,3
44,EID_5521,1,62.0,3,1,Lebanon,Logistics,Analytical,31.0,4,54,1,2,9.0,type2,3.0,3,-0.1048,-0.4537,2.0,2,6,3
45,EID_21155,0,27.0,3,1,Lebanon,Logistics,Analytical,3.0,2,48,0,3,7.0,type2,5.0,5,0.7516,0.7075,1.0,3,9,3
46,EID_3840,0,59.0,4,1,Clinton,IT,Analytical,24.0,3,72,0,3,8.0,type2,1.0,4,-0.9612,0.7075,2.0,3,9,3
48,EID_6711,0,47.0,2,1,Washington,Sales,Conceptual,19.0,4,23,0,2,7.0,type2,2.0,3,-1.8176,0.7075,2.0,3,6,3
50,EID_16789,0,,2,1,Franklin,Operarions,Analytical,2.0,2,74,0,2,8.0,type2,3.0,3,0.7516,-0.4537,,2,8,3
56,EID_25662,1,52.0,4,0,Franklin,Sales,Conceptual,21.0,2,33,1,5,7.0,type1,1.0,3,-1.8176,-0.4537,2.0,5,9,3
59,EID_18108,1,24.0,4,1,Franklin,Logistics,Behavioral,5.0,3,39,0,2,10.0,type2,4.0,3,1.6081,-0.4537,2.0,2,7,3
60,EID_7000,1,43.0,3,1,Springfield,R&D,Analytical,8.0,4,21,1,2,8.0,type2,2.0,3,-0.1048,0.7075,2.0,3,6,5
62,EID_7816,1,45.0,3,1,Clinton,R&D,Conceptual,17.0,2,41,1,1,8.0,type3,3.0,3,,-0.4537,2.0,2,5,3
66,EID_16818,0,24.0,2,0,Springfield,Marketing,Analytical,5.0,1,29,1,4,7.0,type3,2.0,3,0.7516,0.7075,1.0,1,8,3
69,EID_11154,1,42.0,3,1,Lebanon,Sales,Analytical,11.0,3,37,1,3,9.0,type0,4.0,3,-0.9612,-0.4537,1.0,2,7,3
70,EID_22137,0,31.0,4,1,Washington,Logistics,Behavioral,4.0,1,58,1,1,8.0,type0,2.0,3,,-0.4537,1.0,3,8,3
72,EID_18514,0,20.0,5,1,Springfield,Operarions,Conceptual,1.0,1,48,1,5,8.0,type3,1.0,3,-1.8176,0.7075,1.0,1,8,3
74,EID_16019,1,23.0,3,1,Springfield,R&D,Analytical,4.0,1,25,1,2,7.0,type2,3.0,3,0.7516,-0.4537,1.0,4,7,3
77,EID_13284,1,27.0,3,0,Franklin,Marketing,Behavioral,3.0,3,63,1,3,7.0,type0,1.0,3,,-2.7762,2.0,3,7,5
78,EID_5451,1,62.0,3,1,Springfield,Sales,Behavioral,40.0,3,39,1,2,7.0,type2,1.0,3,0.7516,1.8688,2.0,3,5,4
80,EID_9178,0,59.0,4,1,Lebanon,Security,Directive,24.0,3,42,1,4,7.0,type2,1.0,3,-0.1048,-0.4537,2.0,5,6,4
83,EID_4379,1,52.0,3,1,Clinton,Logistics,Directive,28.0,4,43,0,1,7.0,type2,4.0,3,0.7516,-0.4537,2.0,4,8,4
85,EID_14882,0,24.0,3,0,Lebanon,IT,Conceptual,5.0,1,54,0,5,9.0,type2,4.0,3,-0.9612,-0.4537,1.0,3,7,3
86,EID_9969,0,37.0,3,1,Springfield,IT,Directive,10.0,3,65,1,3,7.0,type2,1.0,2,0.7516,-1.615,2.0,4,7,5
87,EID_23643,1,,4,0,Lebanon,Sales,Behavioral,10.0,1,53,0,2,8.0,type3,1.0,3,,-0.4537,2.0,2,7,3
88,EID_5935,1,65.0,5,0,Springfield,Sales,Conceptual,37.0,3,40,1,4,8.0,type3,3.0,1,-0.9612,-0.4537,2.0,3,8,3
92,EID_20626,0,37.0,1,1,Springfield,R&D,Conceptual,10.0,3,34,0,5,7.0,type2,1.0,2,1.6081,-0.4537,2.0,1,7,2
96,EID_20264,0,54.0,4,1,Franklin,IT,Directive,18.0,2,40,2,3,8.0,type3,2.0,3,,-0.4537,,4,8,5
97,EID_16691,1,25.0,4,0,Franklin,Accounting and Finance,Conceptual,6.0,1,26,1,3,8.0,type3,1.0,4,-0.1048,1.8688,2.0,3,7,5
99,EID_2565,0,62.0,4,1,Springfield,IT,Analytical,34.0,1,72,2,3,7.0,type2,1.0,4,-1.8176,0.7075,,3,7,3
100,EID_11463,0,37.0,3,1,Springfield,IT,Analytical,13.0,2,50,1,4,7.0,type2,2.0,3,-0.1048,-0.4537,3.0,3,8,3
106,EID_24257,1,31.0,3,1,Washington,IT,Conceptual,7.0,2,52,1,1,7.0,type2,2.0,4,,0.7075,2.0,4,6,4
107,EID_7024,0,43.0,3,1,Lebanon,Human Resource Management,Analytical,13.0,2,70,1,3,7.0,type3,1.0,2,-0.1048,-1.615,2.0,4,6,4
113,EID_7758,0,50.0,4,1,Springfield,Logistics,Directive,16.0,1,54,1,1,7.0,type2,2.0,3,0.7516,0.7075,2.0,2,7,3
115,EID_1078,1,58.0,2,1,Franklin,Sales,Analytical,29.0,4,40,0,2,8.0,type2,1.0,3,0.7516,-0.4537,2.0,4,5,3
117,EID_1702,1,65.0,3,0,Springfield,IT,Conceptual,28.0,2,28,0,1,7.0,type2,3.0,2,-0.9612,-0.4537,2.0,2,5,2
121,EID_22264,0,25.0,4,0,Lebanon,Sales,Analytical,6.0,2,44,0,5,8.0,type2,1.0,3,-1.8176,-0.4537,2.0,3,7,4
122,EID_9866,0,41.0,3,0,Lebanon,R&D,Behavioral,16.0,1,21,2,4,7.0,type2,1.0,2,-0.1048,0.7075,2.0,2,8,4
125,EID_1186,0,61.0,3,1,Franklin,Sales,Behavioral,23.0,3,60,1,2,8.0,type3,2.0,4,-0.1048,-0.4537,2.0,4,5,4
126,EID_12355,1,30.0,5,1,Lebanon,Logistics,Behavioral,6.0,4,44,0,2,8.0,type2,3.0,1,,1.8688,2.0,4,9,4
127,EID_11020,1,34.0,2,1,Franklin,Sales,Conceptual,5.0,1,22,0,5,9.0,type2,2.0,3,0.7516,0.7075,2.0,2,6,4
128,EID_19193,1,21.0,4,1,Lebanon,Sales,Behavioral,2.0,2,25,1,2,7.0,type2,1.0,3,1.6081,0.7075,1.0,4,8,5
132,EID_12957,1,28.0,3,1,Lebanon,Sales,Behavioral,4.0,4,43,0,1,8.0,type3,3.0,3,0.7516,0.7075,2.0,2,7,3
134,EID_2866,0,52.0,4,1,Lebanon,Marketing,Directive,17.0,1,49,1,2,9.0,type0,1.0,4,-0.9612,0.7075,2.0,4,6,5
140,EID_9692,1,41.0,5,1,Springfield,Logistics,Analytical,16.0,4,21,1,3,8.0,type3,5.0,4,0.7516,-0.4537,,4,6,3
143,EID_9831,1,37.0,4,1,Lebanon,Production,Conceptual,11.0,2,74,1,3,9.0,type2,1.0,2,-0.9612,0.7075,2.0,4,7,4
147,EID_22956,1,35.0,1,1,Washington,Accounting and Finance,Directive,6.0,3,61,2,2,8.0,type3,3.0,3,-1.8176,-0.4537,2.0,1,7,3
149,EID_12022,0,40.0,3,1,Clinton,Human Resource Management,Directive,18.0,3,64,0,1,8.0,type2,2.0,5,-1.8176,0.7075,2.0,3,6,3
150,EID_8034,0,59.0,2,1,Franklin,Sales,Behavioral,33.0,2,32,2,3,8.0,type2,1.0,4,0.7516,-0.4537,,3,8,2
153,EID_21957,1,60.0,5,1,Franklin,Accounting and Finance,Analytical,21.0,3,70,1,4,8.0,type2,3.0,3,0.7516,-0.4537,1.0,3,5,4
156,EID_3977,1,49.0,5,0,Springfield,Human Resource Management,Behavioral,12.0,1,56,1,3,9.0,type2,1.0,4,0.7516,1.8688,2.0,4,5,2
160,EID_24509,1,25.0,4,1,Lebanon,Human Resource Management,Conceptual,6.0,2,66,1,1,7.0,type2,3.0,3,0.7516,-0.4537,,4,8,3
166,EID_7964,1,59.0,5,0,Franklin,Quality,Behavioral,33.0,4,42,1,3,8.0,type2,2.0,3,0.7516,-0.4537,2.0,2,6,3
169,EID_2827,1,61.0,3,0,Franklin,Purchasing,Analytical,37.0,2,51,1,1,8.0,type3,3.0,3,-1.8176,-0.4537,,2,6,3
170,EID_8801,0,48.0,3,1,Lebanon,Sales,Directive,10.0,1,34,1,5,9.0,type2,3.0,3,-0.1048,0.7075,2.0,3,8,5
176,EID_21353,0,35.0,2,1,Lebanon,Accounting and Finance,Conceptual,6.0,1,71,1,3,8.0,type2,3.0,2,-1.8176,0.7075,3.0,4,8,5
178,EID_13218,0,28.0,3,0,Washington,Logistics,Analytical,6.0,1,21,1,1,7.0,type3,4.0,3,0.7516,0.7075,2.0,1,6,4
