,Employee_ID,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7
0,EID_5204,0,47.0,4,0,Franklin,Accounting and Finance,Analytical,15.0,2,55,1,2,8.0,type2,5.0,2,0.7516,0.7075,1.0,2,6,2
3,EID_16691,1,25.0,4,0,Franklin,Accounting and Finance,Conceptual,6.0,1,26,1,3,8.0,type3,1.0,4,-0.1048,1.8688,2.0,3,7,5
10,EID_22956,1,35.0,1,1,Washington,Accounting and Finance,Directive,6.0,3,61,2,2,8.0,type3,3.0,3,-1.8176,-0.4537,2.0,1,7,3
11,EID_21957,1,60.0,5,1,Franklin,Accounting and Finance,Analytical,21.0,3,70,1,4,8.0,type2,3.0,3,0.7516,-0.4537,1.0,3,5,4
12,EID_21353,0,35.0,2,1,Lebanon,Accounting and Finance,Conceptual,6.0,1,71,1,3,8.0,type2,3.0,2,-1.8176,0.7075,3.0,4,8,5
13,EID_1017,0,53.0,1,0,Washington,Accounting and Finance,Conceptual,20.0,2,29,1,1,9.0,type2,1.0,4,-0.1048,-2.7762,3.0,3,7,5
15,EID_24861,0,60.0,3,0,Lebanon,Accounting and Finance,Analytical,21.0,2,45,0,2,7.0,type2,3.0,3,0.7516,0.7075,3.0,2,7,3
17,EID_12954,1,28.0,4,0,Springfield,Accounting and Finance,Directive,4.0,4,51,1,2,8.0,type3,2.0,3,-1.8176,0.7075,3.0,2,7,4
18,EID_11464,1,33.0,1,0,Franklin,Accounting and Finance,Directive,11.0,3,39,0,3,9.0,type2,3.0,4,-0.1048,-0.4537,2.0,3,8,3
19,EID_6981,1,47.0,4,1,Clinton,Accounting and Finance,Analytical,22.0,4,25,0,3,7.0,type3,4.0,5,-0.9612,-0.4537,2.0,2,8,4
22,EID_12357,0,34.0,3,1,Lebanon,Accounting and Finance,Conceptual,8.0,2,33,2,4,7.0,type2,3.0,3,0.7516,-0.4537,2.0,2,7,3
